iter	Logloss
0	0.5662075846
5	0.3284442185
10	0.2862906895
15	0.2736442798
20	0.2686588865
25	0.2663963669
30	0.2651976962
35	0.2644330305
40	0.2638378777
45	0.2633970576
50	0.2629815151
55	0.2626007778
60	0.2622738552
65	0.2619890316
70	0.261712801
75	0.2614350433
80	0.261216092
85	0.2610540096
90	0.2608452925
95	0.2605312936
100	0.2603006722
105	0.2600951688
110	0.2598983497
115	0.2596379604
120	0.2592528468
125	0.2590685867
130	0.2587491402
135	0.2585643103
140	0.2583351477
145	0.2580442383
150	0.257807212
155	0.2576229747
160	0.2574276599
165	0.2571862345
170	0.2569646848
175	0.2567712391
180	0.2565316371
185	0.2563038421
190	0.2560857113
195	0.2558472946
200	0.255646897
205	0.2553678172
210	0.2551952045
215	0.2549700306
220	0.2547973495
225	0.2545990716
230	0.2544018194
235	0.2541826629
240	0.2539630506
245	0.2537941987
250	0.2536203551
255	0.2534397875
260	0.2532592883
265	0.2530487021
270	0.2528614333
275	0.2527173348
280	0.2525055406
285	0.2522671923
290	0.2520083529
295	0.2517529781
300	0.2514440165
305	0.2512469466
310	0.2509984326
315	0.2508025024
320	0.2505834827
325	0.2503600867
330	0.2501484976
335	0.2498690532
340	0.249706629
345	0.2494699218
350	0.2492839066
355	0.2490914638
360	0.248855805
365	0.2486007949
370	0.2484222331
375	0.2482075441
380	0.2479956815
385	0.247701809
390	0.2475327748
395	0.2472883635
400	0.2471087076
405	0.246884719
410	0.2466588614
415	0.2464577343
420	0.2462543052
425	0.2460084123
430	0.2458244486
435	0.2455667032
