iter	Passed	Remaining
0	73	367610
1	141	352387
2	207	345025
3	280	350877
4	356	356367
5	425	353939
6	490	349607
7	562	350855
8	634	351856
9	698	348453
10	775	351591
11	837	347968
12	901	345825
13	963	343111
14	1040	345632
15	1111	346280
16	1187	347938
17	1258	348316
18	1324	347184
19	1386	345331
20	1459	346148
21	1525	345261
22	1605	347387
23	1666	345577
24	1754	349201
25	1818	347972
26	1893	348673
27	1969	349777
28	2034	348823
29	2096	347369
30	2161	346529
31	2237	347352
32	2317	348829
33	2388	348861
34	2453	347987
35	2524	348107
36	2590	347481
37	2655	346737
38	2721	346160
39	2798	347002
40	2874	347711
41	2954	348814
42	3015	347673
43	3083	347286
44	3148	346726
45	3226	347522
46	3292	346982
47	3364	347100
48	3435	347078
49	3506	347131
50	3573	346733
51	3637	346139
52	3706	345974
53	3787	346937
54	3861	347210
55	3928	346829
56	3999	346859
57	4063	346220
58	4125	345463
59	4191	345095
60	4257	344714
61	4320	344091
62	4382	343455
63	4447	342984
64	4517	343000
65	4583	342675
66	4655	342768
67	4717	342144
68	4780	341619
69	4843	341091
70	4917	341397
71	4983	341084
72	5047	340684
73	5117	340664
74	5186	340564
75	5250	340149
76	5316	339909
77	5387	339952
78	5456	339907
79	5526	339872
80	5590	339505
81	5660	339474
82	5724	339125
83	5791	338954
84	5871	339528
85	5940	339450
86	6018	339849
87	6081	339474
88	6143	339016
89	6218	339276
90	6284	339041
91	6361	339363
92	6425	339039
93	6484	338414
94	6553	338378
95	6612	337763
96	6674	337362
97	6734	336876
98	6797	336527
99	6863	336297
100	6927	336003
101	7000	336164
102	7058	335573
103	7122	335294
104	7200	335672
105	7260	335234
106	7330	335216
107	7393	334918
108	7453	334453
109	7522	334398
110	7594	334478
111	7658	334256
112	7723	334027
113	7786	333709
114	7853	333595
115	7912	333134
116	7978	332967
117	8041	332709
118	8116	332914
119	8187	332953
120	8246	332506
121	8312	332382
122	8391	332719
123	8452	332377
124	8524	332469
125	8595	332482
126	8670	332684
127	8736	332535
128	8796	332162
129	8864	332092
130	8930	331910
131	8989	331537
132	9046	331063
133	9112	330922
134	9176	330699
135	9242	330570
136	9309	330458
137	9373	330240
138	9439	330097
139	9508	330082
140	9571	329845
141	9640	329821
142	9710	329815
143	9778	329748
144	9846	329684
145	9916	329697
146	9978	329418
147	10049	329469
148	10115	329337
149	10184	329295
150	10251	329188
151	10330	329502
152	10404	329608
153	10468	329425
154	10538	329404
155	10610	329482
156	10687	329671
157	10755	329618
158	10819	329407
159	10884	329247
160	10956	329305
161	11025	329266
162	11094	329229
163	11166	329269
164	11225	328946
165	11302	329147
166	11366	328960
167	11435	328898
168	11499	328728
169	11563	328530
170	11621	328184
171	11684	327974
172	11749	327844
173	11817	327769
174	11880	327560
175	11946	327453
176	12010	327266
177	12076	327144
178	12142	327031
179	12201	326727
180	12268	326645
181	12348	326890
182	12417	326871
183	12484	326767
184	12550	326644
185	12613	326446
186	12676	326278
187	12750	326348
188	12816	326244
189	12888	326286
190	12955	326183
191	13022	326116
192	13093	326121
193	13164	326133
194	13237	326194
195	13304	326102
196	13371	326006
197	13438	325928
198	13506	325844
199	13580	325943
200	13656	326063
201	13715	325787
202	13782	325680
203	13848	325569
204	13914	325464
205	13992	325635
206	14062	325621
207	14132	325588
208	14199	325506
209	14258	325224
210	14323	325085
211	14402	325285
212	14475	325315
213	14541	325211
214	14604	325025
215	14675	325036
216	14744	324999
217	14812	324918
218	14877	324781
219	14935	324501
220	15001	324397
221	15068	324307
222	15133	324189
223	15200	324099
224	15273	324147
225	15347	324194
226	15429	324417
227	15486	324139
228	15569	324373
229	15629	324143
230	15697	324067
231	15760	323899
232	15821	323687
233	15890	323640
234	15950	323428
235	16014	323283
236	16085	323271
237	16152	323187
238	16217	323050
239	16284	322978
240	16351	322895
241	16410	322646
242	16478	322594
243	16547	322545
244	16611	322405
245	16677	322305
246	16743	322201
247	16812	322142
248	16873	321953
249	16931	321704
250	16997	321601
251	17064	321523
252	17134	321497
253	17194	321285
254	17256	321115
255	17331	321170
256	17393	321003
257	17461	320939
258	17534	320965
259	17597	320820
260	17674	320912
261	17745	320904
262	17816	320907
263	17883	320823
264	17948	320699
265	18008	320491
266	18076	320441
